Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,8.350000,8.350000,8.350000,8.350000,7.416176,0
2018-01-05,8.360000,8.360000,8.360000,8.360000,7.425056,0
2018-01-08,8.340000,8.340000,8.340000,8.340000,7.407295,0
2018-01-09,8.330000,8.330000,8.330000,8.330000,7.398412,0
2018-01-10,8.310000,8.310000,8.310000,8.310000,7.380651,0
2018-01-11,8.350000,8.350000,8.350000,8.350000,7.416176,0
2018-01-12,8.380000,8.380000,8.380000,8.380000,7.442824,0
2018-01-16,8.400000,8.400000,8.400000,8.400000,7.460585,0
2018-01-17,8.410000,8.410000,8.410000,8.410000,7.469465,0
2018-01-18,8.410000,8.410000,8.410000,8.410000,7.469465,0
2018-01-19,8.390000,8.390000,8.390000,8.390000,7.451703,0
2018-01-22,8.390000,8.390000,8.390000,8.390000,7.451703,0
2018-01-23,8.390000,8.390000,8.390000,8.390000,7.451703,0
2018-01-24,8.440000,8.440000,8.440000,8.440000,7.496109,0
2018-01-25,8.460000,8.460000,8.460000,8.460000,7.513874,0
2018-01-26,8.460000,8.460000,8.460000,8.460000,7.537037,0
2018-01-29,8.430000,8.430000,8.430000,8.430000,7.510313,0
2018-01-30,8.410000,8.410000,8.410000,8.410000,7.492493,0
2018-01-31,8.440000,8.440000,8.440000,8.440000,7.519217,0
2018-02-01,8.470000,8.470000,8.470000,8.470000,7.545947,0
2018-02-02,8.400000,8.400000,8.400000,8.400000,7.483584,0
2018-02-05,8.350000,8.350000,8.350000,8.350000,7.439037,0
2018-02-06,8.350000,8.350000,8.350000,8.350000,7.439037,0
2018-02-07,8.330000,8.330000,8.330000,8.330000,7.421219,0
2018-02-08,8.260000,8.260000,8.260000,8.260000,7.358857,0
2018-02-09,8.210000,8.210000,8.210000,8.210000,7.314312,0
2018-02-12,8.240000,8.240000,8.240000,8.240000,7.341038,0
2018-02-13,8.230000,8.230000,8.230000,8.230000,7.332129,0
2018-02-14,8.250000,8.250000,8.250000,8.250000,7.349947,0
2018-02-15,8.300000,8.300000,8.300000,8.300000,7.394495,0
2018-02-16,8.300000,8.300000,8.300000,8.300000,7.394495,0
2018-02-20,8.290000,8.290000,8.290000,8.290000,7.385584,0
2018-02-21,8.280000,8.280000,8.280000,8.280000,7.376675,0
2018-02-22,8.280000,8.280000,8.280000,8.280000,7.376675,0
2018-02-23,8.300000,8.300000,8.300000,8.300000,7.394495,0
2018-02-26,8.320000,8.320000,8.320000,8.320000,7.426628,0
2018-02-27,8.290000,8.290000,8.290000,8.290000,7.399848,0
2018-02-28,8.270000,8.270000,8.270000,8.270000,7.381996,0
2018-03-01,8.260000,8.260000,8.260000,8.260000,7.373072,0
